CustomerID,Age,Gender,Tenure,MonthlyCharges,TotalSpend,Contract,SupportCalls,Churn
C0001,56,Female,52,2866.93,149080.36,Monthly,10,Yes
C0002,25,Male,61,1911.5,116601.5,Monthly,9,No
C0003,36,Male,24,2057.4,49377.6,Quarterly,4,No
C0004,19,Male,30,873.32,26199.6,Quarterly,4,No
C0005,50,Female,58,1716.84,99576.72,Monthly,8,Yes
C0006,66,Male,59,1379.62,81397.58,Quarterly,2,No
C0007,61,Female,55,2954.72,162509.6,Quarterly,8,No
C0008,20,Male,51,2136.83,108978.33,Monthly,8,No
C0009,56,Male,18,2861.99,51515.82,Quarterly,1,No
C0010,26,Male,53,923.41,48940.73,Yearly,6,Yes
C0011,61,Male,8,392.85,3142.8,Yearly,0,No
C0012,53,Female,50,2088.81,104440.5,Yearly,1,No
C0013,23,Male,54,1776.12,95910.48,Monthly,5,Yes
C0014,46,Male,63,2574.17,162172.71,Monthly,1,Yes
C0015,27,Female,62,2801.98,173722.76,Yearly,7,No
C0016,31,Female,62,1178.39,73060.18,Quarterly,1,No
C0017,64,Male,53,1884.23,99864.19,Yearly,8,Yes
C0018,62,Male,41,1099.94,45097.54,Monthly,0,Yes
C0019,42,Female,71,1443.18,102465.78,Yearly,0,Yes
C0020,61,Male,8,314.91,2519.28,Monthly,10,No
C0021,68,Female,8,2268.32,18146.56,Quarterly,0,No
C0022,22,Male,41,2770.39,113585.99,Monthly,8,No
C0023,25,Male,12,1193.42,14321.04,Monthly,6,Yes
C0024,40,Male,62,1177.99,73035.38,Yearly,2,No
C0025,61,Male,35,1574.98,55124.3,Yearly,4,No
C0026,64,Female,3,2354.12,7062.36,Yearly,9,No
C0027,31,Male,27,1711.38,46207.26,Monthly,9,Yes
C0028,59,Male,51,384.86,19627.86,Quarterly,6,No
C0029,66,Male,52,1820.84,94683.68,Yearly,3,No
C0030,47,Female,23,1931.93,44434.39,Yearly,10,No
C0031,46,Male,36,2845.7,102445.2,Monthly,6,No
C0032,68,Male,28,2810.18,78685.04,Quarterly,8,No
C0033,23,Male,28,2469.91,69157.48,Yearly,3,No
C0034,47,Female,62,1756.22,108885.64,Yearly,9,No
C0035,45,Male,62,597.14,37022.68,Monthly,8,Yes
C0036,44,Female,62,301.41,18687.42,Yearly,8,No
C0037,20,Male,70,1679.02,117531.4,Monthly,8,Yes
C0038,54,Male,51,1027.41,52397.91,Yearly,7,Yes
C0039,32,Male,59,1172.65,69186.35,Quarterly,7,Yes
C0040,58,Female,52,1281.8,66653.6,Monthly,0,Yes
C0041,69,Female,12,979.81,11757.72,Quarterly,1,No
C0042,20,Male,56,399.59,22377.04,Yearly,0,No
C0043,19,Female,2,1409.8,2819.6,Quarterly,6,Yes
C0044,54,Female,1,946.82,946.82,Yearly,1,No
C0045,61,Male,32,1792.81,57369.92,Quarterly,6,Yes
C0046,21,Male,55,2356.37,129600.35,Quarterly,10,No
C0047,34,Male,38,1293.01,49134.38,Quarterly,3,No
C0048,51,Male,70,1376.83,96378.1,Monthly,0,No
C0049,26,Male,59,803.6,47412.4,Yearly,2,No
C0050,37,Female,59,894.65,52784.35,Quarterly,9,No
C0051,20,Female,19,1241.4,23586.6,Quarterly,6,No
C0052,69,Male,33,1373.44,45323.52,Monthly,6,Yes
C0053,35,Female,1,2124.36,2124.36,Monthly,8,Yes
C0054,42,Female,50,2796.67,139833.5,Monthly,9,No
C0055,52,Male,7,2081.96,14573.72,Quarterly,9,No
C0056,65,Male,60,1004.24,60254.4,Monthly,0,No
C0057,65,Female,12,1807.39,21688.68,Yearly,10,No
C0058,26,Female,19,2260.08,42941.52,Quarterly,2,No
C0059,37,Female,24,1392.17,33412.08,Quarterly,0,No
C0060,41,Female,72,2420.42,174270.24,Monthly,7,Yes
C0061,37,Female,25,313.67,7841.75,Monthly,1,Yes
C0062,19,Female,54,1510.75,81580.5,Yearly,8,Yes
C0063,53,Male,33,348.8,11510.4,Quarterly,4,No
C0064,65,Female,20,1289.47,25789.4,Monthly,7,Yes
C0065,24,Female,67,2075.55,139061.85,Monthly,0,No
C0066,65,Female,59,1292.83,76276.97,Yearly,6,No
C0067,39,Female,30,2927.13,87813.9,Yearly,2,Yes
C0068,25,Female,27,1472.86,39767.22,Monthly,4,No
C0069,47,Female,28,2106.09,58970.52,Monthly,0,No
C0070,22,Male,61,1647.82,100517.02,Yearly,3,No
C0071,52,Male,64,2042.78,130737.92,Yearly,0,No
C0072,61,Male,30,2875.61,86268.3,Monthly,4,No
C0073,23,Female,37,2806.46,103839.02,Quarterly,0,No
C0074,63,Female,53,1845.19,97795.07,Quarterly,0,No
C0075,69,Female,63,1125.38,70898.94,Quarterly,6,No
C0076,50,Female,67,757.63,50761.21,Quarterly,8,No
C0077,59,Male,54,2179.28,117681.12,Monthly,7,Yes
C0078,63,Male,24,864.08,20737.92,Yearly,5,No
C0079,40,Female,66,986.24,65091.84,Quarterly,9,No
C0080,19,Female,17,2591.41,44053.97,Monthly,8,No
C0081,60,Female,48,1792.61,86045.28,Quarterly,9,No
C0082,43,Male,50,2641.1,132055.0,Monthly,9,Yes
C0083,24,Male,57,1995.31,113732.67,Monthly,3,Yes
C0084,18,Female,8,2195.31,17562.48,Quarterly,2,No
C0085,40,Male,15,1314.07,19711.05,Yearly,1,No
C0086,49,Female,63,397.04,25013.52,Yearly,8,No
C0087,39,Male,58,2623.09,152139.22,Monthly,0,Yes
C0088,69,Male,42,2521.02,105882.84,Monthly,5,Yes
C0089,60,Female,60,1181.96,70917.6,Quarterly,7,No
C0090,61,Female,5,1534.62,7673.1,Quarterly,5,No
C0091,62,Male,47,2188.68,102867.96,Quarterly,7,Yes
C0092,69,Male,16,2934.8,46956.8,Yearly,9,Yes
C0093,47,Female,19,2447.0,46493.0,Quarterly,2,Yes
C0094,45,Male,58,511.83,29686.14,Monthly,4,No
C0095,43,Male,62,2557.15,158543.3,Yearly,8,Yes
C0096,29,Female,1,767.89,767.89,Yearly,0,No
C0097,64,Female,34,947.43,32212.62,Monthly,5,No
C0098,65,Male,1,2878.14,2878.14,Monthly,6,No
C0099,22,Female,22,2271.11,49964.42,Quarterly,2,No
C0100,29,Male,26,1261.13,32789.38,Monthly,4,Yes
C0101,39,Male,57,1223.08,69715.56,Monthly,4,Yes
C0102,64,Male,62,2199.88,136392.56,Monthly,9,No
C0103,43,Male,48,2478.67,118976.16,Quarterly,3,No
C0104,50,Male,23,429.76,9884.48,Yearly,5,No
C0105,22,Female,34,1004.41,34149.94,Monthly,9,No
C0106,36,Male,58,1652.81,95862.98,Monthly,7,No
C0107,22,Male,4,1962.8,7851.2,Monthly,6,Yes
C0108,19,Male,32,2838.62,90835.84,Quarterly,7,No
C0109,29,Male,50,1848.09,92404.5,Yearly,0,No
C0110,50,Male,61,1773.17,108163.37,Yearly,4,No
C0111,29,Male,67,2515.15,168515.05,Quarterly,7,No
C0112,27,Male,43,828.64,35631.52,Monthly,1,No
C0113,68,Female,35,1208.7,42304.5,Yearly,9,No
C0114,25,Male,26,2140.36,55649.36,Monthly,1,No
C0115,68,Male,7,619.05,4333.35,Quarterly,4,Yes
C0116,67,Female,29,405.8,11768.2,Yearly,8,No
C0117,38,Male,36,779.09,28047.24,Quarterly,8,No
