CustomerID,Age,Gender,Tenure,MonthlyCharges,TotalSpend,Contract,SupportCalls,Churn,ChurnProbability,PredictedChurn,RiskLevel
C0001,56,Female,52,2866.93,149080.36,Monthly,10,Yes,71.52907822113073,Yes,High
C0002,25,Male,61,1911.5,116601.5,Monthly,9,No,65.7398419940725,Yes,High
C0003,36,Male,24,2057.4,49377.6,Quarterly,4,No,30.797668805057103,No,Medium
C0004,19,Male,30,873.32,26199.6,Quarterly,4,No,24.84356939299746,No,Low
C0005,50,Female,58,1716.84,99576.72,Monthly,8,Yes,61.95498851834842,Yes,High
C0006,66,Male,59,1379.62,81397.58,Quarterly,2,No,18.15733944546711,No,Low
C0007,61,Female,55,2954.72,162509.6,Quarterly,8,No,37.023238820592624,No,Medium
C0008,20,Male,51,2136.83,108978.33,Monthly,8,No,64.80063870770955,Yes,High
C0009,56,Male,18,2861.99,51515.82,Quarterly,1,No,27.06448526669468,No,Low
C0010,26,Male,53,923.41,48940.73,Yearly,6,Yes,28.48900604897708,No,Low
C0011,61,Male,8,392.85,3142.8,Yearly,0,No,14.011525753831194,No,Low
C0012,53,Female,50,2088.81,104440.5,Yearly,1,No,16.25893426368974,No,Low
C0013,23,Male,54,1776.12,95910.48,Monthly,5,Yes,52.348990406454924,Yes,Medium
C0014,46,Male,63,2574.17,162172.71,Monthly,1,Yes,35.21223232257367,No,Medium
C0015,27,Female,62,2801.98,173722.76,Yearly,7,No,29.845351634127727,No,Low
C0016,31,Female,62,1178.39,73060.18,Quarterly,1,No,14.886578228232061,No,Low
C0017,64,Male,53,1884.23,99864.19,Yearly,8,Yes,36.74023365892447,No,Medium
C0018,62,Male,41,1099.94,45097.54,Monthly,0,Yes,34.815305731735045,No,Medium
C0019,42,Female,71,1443.18,102465.78,Yearly,0,Yes,11.923226414800588,No,Low
C0020,61,Male,8,314.91,2519.28,Monthly,10,No,70.1297941079218,Yes,High
C0021,68,Female,8,2268.32,18146.56,Quarterly,0,No,22.814278028786674,No,Low
C0022,22,Male,41,2770.39,113585.99,Monthly,8,No,69.09573075371522,Yes,High
C0023,25,Male,12,1193.42,14321.04,Monthly,6,Yes,61.60696548299486,Yes,High
C0024,40,Male,62,1177.99,73035.38,Yearly,2,No,17.13883153538966,No,Low
C0025,61,Male,35,1574.98,55124.3,Yearly,4,No,26.210651157685366,No,Low
C0026,64,Female,3,2354.12,7062.36,Yearly,9,No,55.80324195551209,Yes,Medium
C0027,31,Male,27,1711.38,46207.26,Monthly,9,Yes,72.3204191860721,Yes,High
C0028,59,Male,51,384.86,19627.86,Quarterly,6,No,29.05054717373126,No,Low
C0029,66,Male,52,1820.84,94683.68,Yearly,3,No,21.18461093256725,No,Low
C0030,47,Female,23,1931.93,44434.39,Yearly,10,No,50.664886207155455,Yes,Medium
C0031,46,Male,36,2845.7,102445.2,Monthly,6,No,64.39193035503521,Yes,High
C0032,68,Male,28,2810.18,78685.04,Quarterly,8,No,48.33696237144498,No,Medium
C0033,23,Male,28,2469.91,69157.48,Yearly,3,No,27.476357412421677,No,Low
C0034,47,Female,62,1756.22,108885.64,Yearly,9,No,37.013029759996506,No,Medium
C0035,45,Male,62,597.14,37022.68,Monthly,8,Yes,62.21358082204528,Yes,High
C0036,44,Female,62,301.41,18687.42,Yearly,8,No,33.52915351936286,No,Medium
C0037,20,Male,70,1679.02,117531.4,Monthly,8,Yes,60.19977811929833,Yes,High
C0038,54,Male,51,1027.41,52397.91,Yearly,7,Yes,32.36193009295932,No,Medium
C0039,32,Male,59,1172.65,69186.35,Quarterly,7,Yes,32.1660333273149,No,Medium
C0040,58,Female,52,1281.8,66653.6,Monthly,0,Yes,32.65713336688592,No,Medium
C0041,69,Female,12,979.81,11757.72,Quarterly,1,No,18.332381937453544,No,Low
C0042,20,Male,56,399.59,22377.04,Yearly,0,No,13.163852112526328,No,Low
C0043,19,Female,2,1409.8,2819.6,Quarterly,6,Yes,36.845224165606886,No,Medium
C0044,54,Female,1,946.82,946.82,Yearly,1,No,18.24902496304775,No,Low
C0045,61,Male,32,1792.81,57369.92,Quarterly,6,Yes,34.913966613198134,No,Medium
C0046,21,Male,55,2356.37,129600.35,Quarterly,10,No,44.64509140511244,No,Medium
C0047,34,Male,38,1293.01,49134.38,Quarterly,3,No,22.638266694452085,No,Low
C0048,51,Male,70,1376.83,96378.1,Monthly,0,No,30.969171011086566,No,Medium
C0049,26,Male,59,803.6,47412.4,Yearly,2,No,17.218878681677097,No,Low
C0050,37,Female,59,894.65,52784.35,Quarterly,9,No,38.15004707674629,No,Medium
C0051,20,Female,19,1241.4,23586.6,Quarterly,6,No,33.094692174751586,No,Medium
C0052,69,Male,33,1373.44,45323.52,Monthly,6,Yes,59.84082939430041,Yes,Medium
C0053,35,Female,1,2124.36,2124.36,Monthly,8,Yes,75.85013730658086,Yes,High
C0054,42,Female,50,2796.67,139833.5,Monthly,9,No,68.70729573475361,Yes,High
C0055,52,Male,7,2081.96,14573.72,Quarterly,9,No,54.28512796228716,Yes,Medium
C0056,65,Male,60,1004.24,60254.4,Monthly,0,No,32.55119879754312,No,Medium
C0057,65,Female,12,1807.39,21688.68,Yearly,10,No,52.78252528463617,Yes,Medium
C0058,26,Female,19,2260.08,42941.52,Quarterly,2,No,25.6483974053891,No,Low
C0059,37,Female,24,1392.17,33412.08,Quarterly,0,No,16.425663733823242,No,Low
C0060,41,Female,72,2420.42,174270.24,Monthly,7,Yes,53.922746182757784,Yes,Medium
C0061,37,Female,25,313.67,7841.75,Monthly,1,Yes,35.093784498898486,No,Medium
C0062,19,Female,54,1510.75,81580.5,Yearly,8,Yes,34.60624976906147,No,Medium
C0063,53,Male,33,348.8,11510.4,Quarterly,4,No,23.265380409913732,No,Low
C0064,65,Female,20,1289.47,25789.4,Monthly,7,Yes,64.02708740012524,Yes,High
C0065,24,Female,67,2075.55,139061.85,Monthly,0,No,29.700531710489763,No,Low
C0066,65,Female,59,1292.83,76276.97,Yearly,6,No,27.498901122060126,No,Low
C0067,39,Female,30,2927.13,87813.9,Yearly,2,Yes,24.859638662309823,No,Low
C0068,25,Female,27,1472.86,39767.22,Monthly,4,No,52.111697069892884,Yes,Medium
C0069,47,Female,28,2106.09,58970.52,Monthly,0,No,39.92615211046524,No,Medium
C0070,22,Male,61,1647.82,100517.02,Yearly,3,No,19.450909122920145,No,Low
C0071,52,Male,64,2042.78,130737.92,Yearly,0,No,12.941895212652502,No,Low
C0072,61,Male,30,2875.61,86268.3,Monthly,4,No,59.59066077177911,Yes,Medium
C0073,23,Female,37,2806.46,103839.02,Quarterly,0,No,17.974799943450893,No,Low
C0074,63,Female,53,1845.19,97795.07,Quarterly,0,No,14.20434293769261,No,Low
C0075,69,Female,63,1125.38,70898.94,Quarterly,6,No,27.80364785904425,No,Low
C0076,50,Female,67,757.63,50761.21,Quarterly,8,No,34.03955108618617,No,Medium
C0077,59,Male,54,2179.28,117681.12,Monthly,7,Yes,60.808371501899,Yes,High
C0078,63,Male,24,864.08,20737.92,Yearly,5,No,27.929661360244207,No,Low
C0079,40,Female,66,986.24,65091.84,Quarterly,9,No,37.44356629068577,No,Medium
C0080,19,Female,17,2591.41,44053.97,Monthly,8,No,74.6104098848285,Yes,High
C0081,60,Female,48,1792.61,86045.28,Quarterly,9,No,41.21971713230436,No,Medium
C0082,43,Male,50,2641.1,132055.0,Monthly,9,Yes,69.4740005645737,Yes,High
C0083,24,Male,57,1995.31,113732.67,Monthly,3,Yes,44.05484613273868,No,Medium
C0084,18,Female,8,2195.31,17562.48,Quarterly,2,No,27.822269628383157,No,Low
C0085,40,Male,15,1314.07,19711.05,Yearly,1,No,19.47230090052335,No,Low
C0086,49,Female,63,397.04,25013.52,Yearly,8,No,33.54674923381585,No,Medium
C0087,39,Male,58,2623.09,152139.22,Monthly,0,Yes,33.259905764161594,No,Medium
C0088,69,Male,42,2521.02,105882.84,Monthly,5,Yes,57.79395132364119,Yes,Medium
C0089,60,Female,60,1181.96,70917.6,Quarterly,7,No,31.31122048073589,No,Medium
C0090,61,Female,5,1534.62,7673.1,Quarterly,5,No,34.18178937646892,No,Medium
C0091,62,Male,47,2188.68,102867.96,Quarterly,7,Yes,36.00774872631653,No,Medium
C0092,69,Male,16,2934.8,46956.8,Yearly,9,Yes,56.77029907393262,Yes,Medium
C0093,47,Female,19,2447.0,46493.0,Quarterly,2,Yes,26.747972447839118,No,Low
C0094,45,Male,58,511.83,29686.14,Monthly,4,No,47.10341016134185,No,Medium
C0095,43,Male,62,2557.15,158543.3,Yearly,8,Yes,34.40892816340198,No,Medium
C0096,29,Female,1,767.89,767.89,Yearly,0,No,15.04578253421025,No,Low
C0097,64,Female,34,947.43,32212.62,Monthly,5,No,52.9401484237191,Yes,Medium
C0098,65,Male,1,2878.14,2878.14,Monthly,6,No,76.23863071000112,Yes,High
C0099,22,Female,22,2271.11,49964.42,Quarterly,2,No,24.966525363153885,No,Low
C0100,29,Male,26,1261.13,32789.38,Monthly,4,Yes,52.37499259917809,Yes,Medium
C0101,39,Male,57,1223.08,69715.56,Monthly,4,Yes,47.562154895056004,No,Medium
C0102,64,Male,62,2199.88,136392.56,Monthly,9,No,65.88091448650069,Yes,High
C0103,43,Male,48,2478.67,118976.16,Quarterly,3,No,23.252364018409335,No,Low
C0104,50,Male,23,429.76,9884.48,Yearly,5,No,25.924987580505647,No,Low
C0105,22,Female,34,1004.41,34149.94,Monthly,9,No,67.49594359659847,Yes,High
C0106,36,Male,58,1652.81,95862.98,Monthly,7,No,59.162719829714405,Yes,Medium
C0107,22,Male,4,1962.8,7851.2,Monthly,6,Yes,68.64777007477441,Yes,High
C0108,19,Male,32,2838.62,90835.84,Quarterly,7,No,42.526083599115644,No,Medium
C0109,29,Male,50,1848.09,92404.5,Yearly,0,No,14.483359289446426,No,Low
C0110,50,Male,61,1773.17,108163.37,Yearly,4,No,22.225152196502552,No,Low
C0111,29,Male,67,2515.15,168515.05,Quarterly,7,No,30.19799887242936,No,Medium
C0112,27,Male,43,828.64,35631.52,Monthly,1,No,37.09992555478479,No,Medium
C0113,68,Female,35,1208.7,42304.5,Yearly,9,No,41.13354701012231,No,Medium
C0114,25,Male,26,2140.36,55649.36,Monthly,1,No,45.35020377239659,No,Medium
C0115,68,Male,7,619.05,4333.35,Quarterly,4,Yes,25.42544427440456,No,Low
C0116,67,Female,29,405.8,11768.2,Yearly,8,No,34.64693539107236,No,Medium
C0117,38,Male,36,779.09,28047.24,Quarterly,8,No,37.40877141864058,No,Medium
C0118,41,Female,64,1855.0,118720.0,Yearly,2,No,16.20210531587886,No,Low
C0119,65,Male,36,1304.45,46960.2,Monthly,6,Yes,59.038009096332075,Yes,Medium
C0120,49,Female,24,2641.21,63389.04,Quarterly,4,No,32.762422749534075,No,Medium
C0121,29,Female,55,2327.35,128004.25,Monthly,8,Yes,62.93140877949719,Yes,High
C0122,52,Female,30,2736.89,82106.7,Monthly,3,No,53.90562844807425,Yes,Medium
C0123,65,Female,13,2717.91,35332.83,Yearly,0,Yes,23.336026282188175,No,Low
C0124,53,Male,12,2888.06,34656.72,Quarterly,2,No,32.43211531581603,No,Medium
C0125,29,Male,9,1162.15,10459.35,Yearly,3,No,24.577672894177276,No,Low
C0126,36,Male,16,1510.8,24172.8,Quarterly,2,No,23.489763089171863,No,Low
C0127,29,Male,25,1795.0,44875.0,Quarterly,4,No,29.29444069820436,No,Low
C0128,53,Female,53,2437.26,129174.78,Yearly,8,Yes,36.21007490227205,No,Medium
C0129,56,Male,53,1634.93,86651.29,Quarterly,6,Yes,30.307040256606843,No,Medium
C0130,31,Female,5,2290.0,11450.0,Monthly,10,Yes,81.21242983036358,Yes,High
C0131,28,Male,18,2915.36,52476.48,Yearly,8,No,51.52406326968661,Yes,Medium
C0132,27,Male,58,1969.19,114213.02,Monthly,5,Yes,51.555579521602866,Yes,Medium
C0133,24,Male,46,2192.62,100860.52,Quarterly,9,No,43.3263912068432,No,Medium
C0134,26,Female,50,2708.12,135406.0,Monthly,1,Yes,38.43329392364991,No,Medium
C0135,22,Female,29,529.06,15342.74,Yearly,2,No,17.30817929300306,No,Low
C0136,25,Male,65,2676.97,174003.05,Yearly,0,No,12.539408634370252,No,Low
C0137,24,Female,45,2334.12,105035.4,Quarterly,5,No,28.67800651830965,No,Low
C0138,48,Male,19,2398.3,45567.7,Monthly,5,Yes,64.39686316937805,Yes,High
C0139,56,Male,19,600.23,11404.37,Yearly,2,No,18.76870314706148,No,Low
C0140,62,Female,13,1394.05,18122.65,Quarterly,9,No,46.579677128862116,No,Medium
C0141,37,Male,72,617.32,44447.04,Monthly,8,No,61.54509554788419,Yes,High
C0142,56,Female,1,2138.81,2138.81,Yearly,8,Yes,50.54591114336044,Yes,Medium
C0143,66,Male,25,2645.22,66130.5,Monthly,5,Yes,64.01006807654267,Yes,High
C0144,23,Female,58,332.82,19303.56,Monthly,4,Yes,45.61850209519255,No,Medium
C0145,33,Male,36,1795.41,64634.76,Yearly,3,No,23.548620297947497,No,Low
C0146,35,Male,47,1999.38,93970.86,Quarterly,0,No,15.546527452579953,No,Low
C0147,20,Female,16,2290.17,36642.72,Monthly,10,No,78.9471586802589,Yes,High
C0148,29,Male,16,2703.71,43259.36,Quarterly,7,Yes,47.96867189470055,No,Medium
C0149,45,Male,8,758.14,6065.12,Quarterly,3,No,23.151700820386726,No,Low
C0150,43,Male,8,1254.05,10032.4,Yearly,1,No,19.924769879781525,No,Low
C0151,45,Female,41,1001.86,41076.26,Yearly,10,No,43.17871705044697,No,Medium
C0152,34,Male,33,1410.26,46538.58,Quarterly,2,No,20.88579475657228,No,Low
C0153,23,Female,69,1956.22,134979.18,Quarterly,1,No,13.910901981567028,No,Low
C0154,27,Female,56,2666.99,149351.44,Quarterly,10,Yes,43.507850494151334,No,Medium
C0155,62,Female,5,371.19,1855.95,Quarterly,0,No,13.871861875583733,No,Low
