CustomerID,Age,Contract,Tenure,MonthlyCharges,SupportCalls,ChurnProbability,PredictedChurn,RiskLevel
C0650,62,Monthly,3,2722.4,10,84.5557743638936,Yes,High
C0663,38,Monthly,3,2675.52,9,81.32650670587157,Yes,High
C0130,31,Monthly,5,2290.0,10,81.21242983036358,Yes,High
C0514,54,Monthly,12,2812.61,9,80.72407013409752,Yes,High
C0974,38,Monthly,2,2001.67,10,80.24609490341477,Yes,High
C0291,24,Monthly,10,2768.91,9,80.06597834185295,Yes,High
C0843,61,Monthly,4,2886.03,8,79.95815434919572,Yes,High
C0147,20,Monthly,16,2290.17,10,78.9471586802589,Yes,High
C0757,52,Monthly,13,1990.83,10,78.35546379316709,Yes,High
C0858,47,Monthly,6,1502.96,10,77.61274611237575,Yes,High
C0881,69,Monthly,10,2567.5,8,76.72352268136477,Yes,High
C0098,65,Monthly,1,2878.14,6,76.23863071000112,Yes,High
C0053,35,Monthly,1,2124.36,8,75.85013730658086,Yes,High
C0783,30,Monthly,8,2376.09,8,75.81269079569385,Yes,High
C0550,51,Monthly,8,2716.82,7,75.12539043988183,Yes,High
C0304,51,Monthly,12,1274.63,10,74.73550699208842,Yes,High
C0080,19,Monthly,17,2591.41,8,74.6104098848285,Yes,High
C0380,42,Monthly,24,1295.02,10,74.16278996369121,Yes,High
C0955,26,Monthly,36,2837.06,9,74.05613363160263,Yes,High
C0238,44,Monthly,36,1765.36,10,74.05468688940157,Yes,High
